# Truth table
# Generated from circuit main
# Exported on Mon Oct 05 23:18:36 EDT 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

ad[6..0] selector[2..0] | x
~~~~~~~~~~~~~~~~~~~~~~~~~~~
0000000       000       | 0
0000000       001       | 0
0000000       010       | 0
0000000       011       | 0
0000000       100       | 0
0000000       101       | 0
0000000       110       | 0
0000000       111       | -
0000001       000       | 1
0000001       001       | 0
0000001       010       | 0
0000001       011       | 0
0000001       100       | 0
0000001       101       | 0
0000001       110       | 0
0000001       111       | -
0000010       000       | 0
0000010       001       | 1
0000010       010       | 0
0000010       011       | 0
0000010       100       | 0
0000010       101       | 0
0000010       110       | 0
0000010       111       | -
0000011       000       | 1
0000011       001       | 1
0000011       010       | 0
0000011       011       | 0
0000011       100       | 0
0000011       101       | 0
0000011       110       | 0
0000011       111       | -
0000100       000       | 0
0000100       001       | 0
0000100       010       | 1
0000100       011       | 0
0000100       100       | 0
0000100       101       | 0
0000100       110       | 0
0000100       111       | -
0000101       000       | 1
0000101       001       | 0
0000101       010       | 1
0000101       011       | 0
0000101       100       | 0
0000101       101       | 0
0000101       110       | 0
0000101       111       | -
0000110       000       | 0
0000110       001       | 1
0000110       010       | 1
0000110       011       | 0
0000110       100       | 0
0000110       101       | 0
0000110       110       | 0
0000110       111       | -
0000111       000       | 1
0000111       001       | 1
0000111       010       | 1
0000111       011       | 0
0000111       100       | 0
0000111       101       | 0
0000111       110       | 0
0000111       111       | -
0001000       000       | 0
0001000       001       | 0
0001000       010       | 0
0001000       011       | 1
0001000       100       | 0
0001000       101       | 0
0001000       110       | 0
0001000       111       | -
0001001       000       | 1
0001001       001       | 0
0001001       010       | 0
0001001       011       | 1
0001001       100       | 0
0001001       101       | 0
0001001       110       | 0
0001001       111       | -
0001010       000       | 0
0001010       001       | 1
0001010       010       | 0
0001010       011       | 1
0001010       100       | 0
0001010       101       | 0
0001010       110       | 0
0001010       111       | -
0001011       000       | 1
0001011       001       | 1
0001011       010       | 0
0001011       011       | 1
0001011       100       | 0
0001011       101       | 0
0001011       110       | 0
0001011       111       | -
0001100       000       | 0
0001100       001       | 0
0001100       010       | 1
0001100       011       | 1
0001100       100       | 0
0001100       101       | 0
0001100       110       | 0
0001100       111       | -
0001101       000       | 1
0001101       001       | 0
0001101       010       | 1
0001101       011       | 1
0001101       100       | 0
0001101       101       | 0
0001101       110       | 0
0001101       111       | -
0001110       000       | 0
0001110       001       | 1
0001110       010       | 1
0001110       011       | 1
0001110       100       | 0
0001110       101       | 0
0001110       110       | 0
0001110       111       | -
0001111       000       | 1
0001111       001       | 1
0001111       010       | 1
0001111       011       | 1
0001111       100       | 0
0001111       101       | 0
0001111       110       | 0
0001111       111       | -
0010000       000       | 0
0010000       001       | 0
0010000       010       | 0
0010000       011       | 0
0010000       100       | 1
0010000       101       | 0
0010000       110       | 0
0010000       111       | -
0010001       000       | 1
0010001       001       | 0
0010001       010       | 0
0010001       011       | 0
0010001       100       | 1
0010001       101       | 0
0010001       110       | 0
0010001       111       | -
0010010       000       | 0
0010010       001       | 1
0010010       010       | 0
0010010       011       | 0
0010010       100       | 1
0010010       101       | 0
0010010       110       | 0
0010010       111       | -
0010011       000       | 1
0010011       001       | 1
0010011       010       | 0
0010011       011       | 0
0010011       100       | 1
0010011       101       | 0
0010011       110       | 0
0010011       111       | -
0010100       000       | 0
0010100       001       | 0
0010100       010       | 1
0010100       011       | 0
0010100       100       | 1
0010100       101       | 0
0010100       110       | 0
0010100       111       | -
0010101       000       | 1
0010101       001       | 0
0010101       010       | 1
0010101       011       | 0
0010101       100       | 1
0010101       101       | 0
0010101       110       | 0
0010101       111       | -
0010110       000       | 0
0010110       001       | 1
0010110       010       | 1
0010110       011       | 0
0010110       100       | 1
0010110       101       | 0
0010110       110       | 0
0010110       111       | -
0010111       000       | 1
0010111       001       | 1
0010111       010       | 1
0010111       011       | 0
0010111       100       | 1
0010111       101       | 0
0010111       110       | 0
0010111       111       | -
0011000       000       | 0
0011000       001       | 0
0011000       010       | 0
0011000       011       | 1
0011000       100       | 1
0011000       101       | 0
0011000       110       | 0
0011000       111       | -
0011001       000       | 1
0011001       001       | 0
0011001       010       | 0
0011001       011       | 1
0011001       100       | 1
0011001       101       | 0
0011001       110       | 0
0011001       111       | -
0011010       000       | 0
0011010       001       | 1
0011010       010       | 0
0011010       011       | 1
0011010       100       | 1
0011010       101       | 0
0011010       110       | 0
0011010       111       | -
0011011       000       | 1
0011011       001       | 1
0011011       010       | 0
0011011       011       | 1
0011011       100       | 1
0011011       101       | 0
0011011       110       | 0
0011011       111       | -
0011100       000       | 0
0011100       001       | 0
0011100       010       | 1
0011100       011       | 1
0011100       100       | 1
0011100       101       | 0
0011100       110       | 0
0011100       111       | -
0011101       000       | 1
0011101       001       | 0
0011101       010       | 1
0011101       011       | 1
0011101       100       | 1
0011101       101       | 0
0011101       110       | 0
0011101       111       | -
0011110       000       | 0
0011110       001       | 1
0011110       010       | 1
0011110       011       | 1
0011110       100       | 1
0011110       101       | 0
0011110       110       | 0
0011110       111       | -
0011111       000       | 1
0011111       001       | 1
0011111       010       | 1
0011111       011       | 1
0011111       100       | 1
0011111       101       | 0
0011111       110       | 0
0011111       111       | -
0100000       000       | 0
0100000       001       | 0
0100000       010       | 0
0100000       011       | 0
0100000       100       | 0
0100000       101       | 1
0100000       110       | 0
0100000       111       | -
0100001       000       | 1
0100001       001       | 0
0100001       010       | 0
0100001       011       | 0
0100001       100       | 0
0100001       101       | 1
0100001       110       | 0
0100001       111       | -
0100010       000       | 0
0100010       001       | 1
0100010       010       | 0
0100010       011       | 0
0100010       100       | 0
0100010       101       | 1
0100010       110       | 0
0100010       111       | -
0100011       000       | 1
0100011       001       | 1
0100011       010       | 0
0100011       011       | 0
0100011       100       | 0
0100011       101       | 1
0100011       110       | 0
0100011       111       | -
0100100       000       | 0
0100100       001       | 0
0100100       010       | 1
0100100       011       | 0
0100100       100       | 0
0100100       101       | 1
0100100       110       | 0
0100100       111       | -
0100101       000       | 1
0100101       001       | 0
0100101       010       | 1
0100101       011       | 0
0100101       100       | 0
0100101       101       | 1
0100101       110       | 0
0100101       111       | -
0100110       000       | 0
0100110       001       | 1
0100110       010       | 1
0100110       011       | 0
0100110       100       | 0
0100110       101       | 1
0100110       110       | 0
0100110       111       | -
0100111       000       | 1
0100111       001       | 1
0100111       010       | 1
0100111       011       | 0
0100111       100       | 0
0100111       101       | 1
0100111       110       | 0
0100111       111       | -
0101000       000       | 0
0101000       001       | 0
0101000       010       | 0
0101000       011       | 1
0101000       100       | 0
0101000       101       | 1
0101000       110       | 0
0101000       111       | -
0101001       000       | 1
0101001       001       | 0
0101001       010       | 0
0101001       011       | 1
0101001       100       | 0
0101001       101       | 1
0101001       110       | 0
0101001       111       | -
0101010       000       | 0
0101010       001       | 1
0101010       010       | 0
0101010       011       | 1
0101010       100       | 0
0101010       101       | 1
0101010       110       | 0
0101010       111       | -
0101011       000       | 1
0101011       001       | 1
0101011       010       | 0
0101011       011       | 1
0101011       100       | 0
0101011       101       | 1
0101011       110       | 0
0101011       111       | -
0101100       000       | 0
0101100       001       | 0
0101100       010       | 1
0101100       011       | 1
0101100       100       | 0
0101100       101       | 1
0101100       110       | 0
0101100       111       | -
0101101       000       | 1
0101101       001       | 0
0101101       010       | 1
0101101       011       | 1
0101101       100       | 0
0101101       101       | 1
0101101       110       | 0
0101101       111       | -
0101110       000       | 0
0101110       001       | 1
0101110       010       | 1
0101110       011       | 1
0101110       100       | 0
0101110       101       | 1
0101110       110       | 0
0101110       111       | -
0101111       000       | 1
0101111       001       | 1
0101111       010       | 1
0101111       011       | 1
0101111       100       | 0
0101111       101       | 1
0101111       110       | 0
0101111       111       | -
0110000       000       | 0
0110000       001       | 0
0110000       010       | 0
0110000       011       | 0
0110000       100       | 1
0110000       101       | 1
0110000       110       | 0
0110000       111       | -
0110001       000       | 1
0110001       001       | 0
0110001       010       | 0
0110001       011       | 0
0110001       100       | 1
0110001       101       | 1
0110001       110       | 0
0110001       111       | -
0110010       000       | 0
0110010       001       | 1
0110010       010       | 0
0110010       011       | 0
0110010       100       | 1
0110010       101       | 1
0110010       110       | 0
0110010       111       | -
0110011       000       | 1
0110011       001       | 1
0110011       010       | 0
0110011       011       | 0
0110011       100       | 1
0110011       101       | 1
0110011       110       | 0
0110011       111       | -
0110100       000       | 0
0110100       001       | 0
0110100       010       | 1
0110100       011       | 0
0110100       100       | 1
0110100       101       | 1
0110100       110       | 0
0110100       111       | -
0110101       000       | 1
0110101       001       | 0
0110101       010       | 1
0110101       011       | 0
0110101       100       | 1
0110101       101       | 1
0110101       110       | 0
0110101       111       | -
0110110       000       | 0
0110110       001       | 1
0110110       010       | 1
0110110       011       | 0
0110110       100       | 1
0110110       101       | 1
0110110       110       | 0
0110110       111       | -
0110111       000       | 1
0110111       001       | 1
0110111       010       | 1
0110111       011       | 0
0110111       100       | 1
0110111       101       | 1
0110111       110       | 0
0110111       111       | -
0111000       000       | 0
0111000       001       | 0
0111000       010       | 0
0111000       011       | 1
0111000       100       | 1
0111000       101       | 1
0111000       110       | 0
0111000       111       | -
0111001       000       | 1
0111001       001       | 0
0111001       010       | 0
0111001       011       | 1
0111001       100       | 1
0111001       101       | 1
0111001       110       | 0
0111001       111       | -
0111010       000       | 0
0111010       001       | 1
0111010       010       | 0
0111010       011       | 1
0111010       100       | 1
0111010       101       | 1
0111010       110       | 0
0111010       111       | -
0111011       000       | 1
0111011       001       | 1
0111011       010       | 0
0111011       011       | 1
0111011       100       | 1
0111011       101       | 1
0111011       110       | 0
0111011       111       | -
0111100       000       | 0
0111100       001       | 0
0111100       010       | 1
0111100       011       | 1
0111100       100       | 1
0111100       101       | 1
0111100       110       | 0
0111100       111       | -
0111101       000       | 1
0111101       001       | 0
0111101       010       | 1
0111101       011       | 1
0111101       100       | 1
0111101       101       | 1
0111101       110       | 0
0111101       111       | -
0111110       000       | 0
0111110       001       | 1
0111110       010       | 1
0111110       011       | 1
0111110       100       | 1
0111110       101       | 1
0111110       110       | 0
0111110       111       | -
0111111       000       | 1
0111111       001       | 1
0111111       010       | 1
0111111       011       | 1
0111111       100       | 1
0111111       101       | 1
0111111       110       | 0
0111111       111       | -
1000000       000       | 0
1000000       001       | 0
1000000       010       | 0
1000000       011       | 0
1000000       100       | 0
1000000       101       | 0
1000000       110       | 1
1000000       111       | -
1000001       000       | 1
1000001       001       | 0
1000001       010       | 0
1000001       011       | 0
1000001       100       | 0
1000001       101       | 0
1000001       110       | 1
1000001       111       | -
1000010       000       | 0
1000010       001       | 1
1000010       010       | 0
1000010       011       | 0
1000010       100       | 0
1000010       101       | 0
1000010       110       | 1
1000010       111       | -
1000011       000       | 1
1000011       001       | 1
1000011       010       | 0
1000011       011       | 0
1000011       100       | 0
1000011       101       | 0
1000011       110       | 1
1000011       111       | -
1000100       000       | 0
1000100       001       | 0
1000100       010       | 1
1000100       011       | 0
1000100       100       | 0
1000100       101       | 0
1000100       110       | 1
1000100       111       | -
1000101       000       | 1
1000101       001       | 0
1000101       010       | 1
1000101       011       | 0
1000101       100       | 0
1000101       101       | 0
1000101       110       | 1
1000101       111       | -
1000110       000       | 0
1000110       001       | 1
1000110       010       | 1
1000110       011       | 0
1000110       100       | 0
1000110       101       | 0
1000110       110       | 1
1000110       111       | -
1000111       000       | 1
1000111       001       | 1
1000111       010       | 1
1000111       011       | 0
1000111       100       | 0
1000111       101       | 0
1000111       110       | 1
1000111       111       | -
1001000       000       | 0
1001000       001       | 0
